Código;Descrição
105022810;Serviços de transporte aquaviário por navegação interior de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105022820;Serviços de transporte aquaviário por navegação interior de produtos químicos perigosos
105022890;Serviços de transporte aquaviário por navegação interior de outros produtos perigosos
105022900;Serviços de transporte aquaviário por navegação interior de outros tipos de carga
105023;Serviços de navegação de apoio ao transporte aquaviário de carga
105023100;Serviços de navegação de apoio portuário
105023200;Serviços de navegação de apoio marítimo
10503;Serviços de transportes aéreo de cargas
105031000;Serviços de transporte aéreo de cargas postais, remessas expressas e cargas congêneres
1050320;Serviços de transporte aéreo de cargas em contêineres
105032010;Serviços de transporte aéreo de cargas em contêineres frigorificados ou climatizados
105032090;Serviços de transporte aéreo de cargas em outros tipos de contêineres
1050330;Serviços de transporte aéreo de cargas especiais
105033010;Serviços de transporte aéreo de produtos perigosos
105033020;Serviços de transporte aéreo de animais vivos
105033030;Serviços de transporte aéreo de máquinas e veículos
105033040;Serviços de transporte aéreo de perecíveis
105033050;Serviços de transporte aéreo de cargas frágeis
105033060;Serviços de transporte aéreo de cargas controladas
105033070;Serviços de transporte aéreo de valores
105033090;Serviços de transporte aéreo de outras cargas especiais
105039000;Serviços de transporte aéreo de outros tipos de cargas
10504;Serviços de transporte multimodal, exceto os serviços de apoio
1050410;Serviços de transporte multimodal de cargas a granel
105041010;Serviços de transporte multimodal de cargas sólidas, a granel 
105041020;Serviços de transporte multimodal de cargas líquidas ou liquefeitas, a granel
105041030;Serviços de transporte multimodal de cargas gasosas a granel
105042000;Serviços de transporte multimodal de cargas vivas
1050430;Serviços de transporte multimodal de carga geral
105043010;Serviços de transporte multimodal de cargas soltas, não unitizadas
105043020;Serviços de transporte multimodal de cargas unitizadas, exceto em contêineres
1050440;Serviços de transporte multimodal de cargas em contêineres
105044010;Serviços de transporte multimodal de cargas em contêineres frigorificados ou climatizados
105044090;Serviços de transporte multimodal de cargas em outros tipos de contêineres
105045000;Serviços de transporte multimodal de mudanças domésticas e de mobília e outros objetos de escritório
105046000;Serviços de transporte multimodal de cargas especiais e de grande porte 
105047000;Serviços de transporte multimodal de veículos
1050480;Serviços de transporte multimodal de produtos perigosos
105048010;Serviços de transporte multimodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105048020;Serviços de transporte multimodal de produtos químicos perigosos
105048090;Serviços de transporte multimodal de outros produtos perigosos
105049000;Serviços de transporte multimodal de outros tipos de carga 
10505;Serviços de transporte intermodal, exceto os serviços de apoio
1050510;Serviços de transporte intermodal de cargas a granel
105051010;Serviços de transporte intermodal de cargas sólidas, a granel 
105051020;Serviços de transporte intermodal de cargas líquidas ou liquefeitas, a granel
105051030;Serviços de transporte intermodal de cargas gasosas a granel
105052000;Serviços de transporte intermodal de cargas vivas
1050530;Serviços de transporte intermodal de carga geral
105053010;Serviços de transporte intermodal de cargas soltas, não unitizadas. 
105053020;Serviços de transporte intermodal de cargas unitizadas, exceto em contêineres
1050540;Serviços de transporte intermodal de cargas em contêineres
105054010;Serviços de transporte intermodal de cargas em contêineres frigorificados ou climatizados
105054090;Serviços de transporte intermodal de cargas em outros tipos de contêineres
105055000;Serviços de transporte intermodal de mudanças domésticas e de mobília e outros objetos de escritório
105056000;Serviços de transporte intermodal de cargas especiais e de grande porte 
105057000;Serviços de transporte intermodal de veículos
1050580;Serviços de transporte intermodal de produtos perigosos
105058010;Serviços de transporte intermodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105058020;Serviços de transporte intermodal de produtos químicos perigosos
105058090;Serviços de transporte intermodal de outros produtos perigosos
105059000;Serviços de transporte intermodal de outros tipos de carga 
106;Serviços de apoio aos transportes 
10601;Serviços de manuseio de cargas
106011000;Serviços de manuseio de contêineres
106019000;Outros serviços de manuseio de cargas e bagagens
10602;Serviços de armazenagem em depósitos 
106021000;Serviços de armazenagem frigorífica
1060220;Serviços de armazenagem de produtos perigosos
106022010;Serviços de armazenagem de petróleo e seus derivados
106022020;Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
106022030;Serviços de armazenagem de produtos químicos perigosos
106022090;Serviços de armazenagem de outros produtos perigosos
1060230;Serviços de armazenagem de granéis sólidos, líquidos ou liquefeitos e gasosos
106023010;Serviços de armazenagem de granéis sólidos
106023020;Serviços de armazenagem de granéis líquidos ou liquefeitos
106023030;Serviços de armazenagem de granéis gasosos
106029000;Outros serviços de armazenagem em depósitos
106030000;Serviços de apoio para transportes ferroviários
10604;Serviços de apoio para transportes rodoviários
106041000;Serviços de estações rodoviárias
1060420;Serviços de operação de autoestradas, pontes e túneis
106042010;Serviços de operação de autoestradas
106042020;Serviços de operação de pontes e túneis
106042030;Serviços de exploração de pedágios
106043000;Serviços de estacionamentos 
