Código;Descrição
120029000;Outros serviços de manutenção e reparação de outros bens de consumo
12003;Serviços de instalação, exceto os de construção
120031000;Serviços de instalação de produtos metálicos
120032;Serviços de instalação de maquinário e equipamentos, industriais
120032100;Serviços de montagem sob encomenda de turbinas industriais
120032900;Outros serviços de instalação de maquinário e equipamentos, industriais
120033000;Serviços de instalação de computadores e seus periféricos e maquinário de escritório
120034000;Serviços de instalação de equipamentos e aparelhos de comunicação, incluindo de rádio e de televisão 
120035000;Serviços de instalação de maquinários, equipamentos, instrumentos e aparelhos médico-hospitalares, óticos e de precisão
120036000;Serviços de instalação de sensores e sistemas de armas
120037000;Serviços de instalação de maquinários e equipamentos de emprego militar
1200380;Serviços de instalação de maquinários e equipamentos de transporte
120038010;Serviços de montagem sob encomenda de motores, turborreatores e turbopropulsores aeronáuticos
120038090;Outros serviços de instalação de maquinários e equipamentos de transporte
120039000;Serviços de instalação de maquinários e equipamentos não classificados em outra posição 
121;Serviços de publicação, impressão e reprodução
12101;Serviços de reprodução, impressão e editoração
121011000;Serviços de editoração
121012;Serviços de impressão e reprodução de mídia gravada 
121012100;Serviços de impressão
121012200;Serviços relacionados à impressão
121012300;Serviços de reprodução de mídia gravada 
121013000;Serviços de apoio aos serviços de reprodução, impressão e editoração
121019000;Outros serviços de reprodução, impressão e editoração 
121900000;Outros serviços de publicação
122;Serviços educacionais
12201;Serviços de educação básica 
122011;Serviços de educação infantil
122011100;Serviços de creches ou de entidades equivalentes 
122011200;Serviços de pré-escola 
122011900;Outros serviços de educação infantil
122012000;Serviços de ensino fundamental
122013000;Serviços de ensino médio
122020000;Serviços de educação técnica de nível médio
12203;Serviços de educação de jovens e adultos
122031000;Serviços de alfabetização de jovens e adultos
122032000;Serviços de ensino fundamental de jovens e adultos
122033000;Serviços de ensino médio de jovens e adultos
12204;Serviços de educação superior
122041000;Serviços educacionais de graduação
122042000;Serviços educacionais de pós-graduação
122043000;Serviços educacionais de extensão
122044000;Serviços educacionais de cursos sequenciais
122050000;Serviços de educação especial
12290;Outros serviços educacionais, incluindo de treinamento, e serviços de apoio aos serviços educacionais
122901;Outros serviços de educação, inclusive treinamento 
122901100;Serviços culturais, com enfoque educacional 
122901200;Serviços de educação desportiva e recreacional 
122901300;Serviços de educação em línguas estrangeiras
1229019;Outros serviços de educação e treinamento não classificados em outra posição 
122901910;Serviços de palestras e conferências
122901990;Outros serviços de educação e treinamento
122902000;Serviços de apoio aos serviços educacionais 
123;Serviços relacionados à saúde humana e de assistência social 
12301;Serviços de saúde humana 
123011;Serviços hospitalares com ou sem internação
123011100;Serviços cirúrgicos 
123011200;Serviços ginecológicos e obstétricos 
123011300;Serviços psiquiátricos 
123011400;Serviços cardiológicos
123011500;Serviços oncológicos
123011600;Serviços aos recém-nascidos
123011700;Serviços de ambulâncias, exceto aquelas sem envolver atendimento médico ao paciente e destinadas exclusivamente à remoção de enfermos 
123011800;Serviços prestados em unidades de terapia intensiva
1230119;Outros serviços hospitalares 
123011910;Serviços de atendimento de urgência
123011920;Serviços conexos à saúde pública
123011990;Outros serviços hospitalares
123012;Serviços médicos e odontológicos, não hospitalares 
123012100;Serviços de clínica médica 
123012200;Serviços médicos especializados 
123012300;Serviços odontológicos
123019;Outros serviços de saúde humana 
123019100;Serviços de enfermagem 
123019200;Serviços fisioterapêuticos 
123019300;Serviços laboratoriais 
123019400;Serviços de diagnóstico por imagem
123019500;Serviços de bancos de órgãos, esperma e sangue 
123019600;Serviços de bancos de leite, tecidos, olhos, ossos, óvulos e outros materiais biológicos
123019900;Outros serviços de saúde humana, exceto os serviços hospitalares 
12302;Serviços de gestão hospitalar
123021000;Serviços de consultoria em saúde
123029000;Outros serviços de gestão hospitalar
123030000;Serviços domiciliares de apoio a idosos, crianças, adolescentes, pessoas com transtornos mentais e com deficiências 
123040000;Serviços de apoio a idosos, crianças, adolescentes, pessoas com transtornos mentais e com deficiências, exceto domiciliar
12305;Serviços de assistência social 
123051;Serviços de proteção social básica
123051100;Serviços de atenção integral à família
123051200;Serviços de convivência para crianças, adolescentes, jovens e idosos
123051300;Serviços de apoio à autonomia e à convivência familiar e comunitária
123051900;Outros serviços de proteção social básica
123052;Serviços de proteção social especial
123052100;Serviços de acolhida para adultos e idosos em albergues, abrigos ou moradias provisórias
123052200;Serviços de acolhida para crianças e adolescentes em repúblicas, casas de acolhida, abrigos ou com família acolhedora
123052300;Serviços especiais de referência para pessoas com necessidades especiais, em situação de abandono, vítimas de negligência, abusos e formas de violência
123052400;Serviços de apoio a situações de risco circunstanciais em decorrência de calamidades públicas e emergenciais
123052500;Serviços especiais de referência para adolescentes em cumprimento de medida socioeducativa de liberdade assistida e de prestação de serviços à comunidade
1230529;Outros serviços de assistência social
123052910;Serviços de reabilitação vocacional
123052990;Outros serviços de assistência social
123060000;Serviços de planos privados de assistência à saúde
124;Serviços de tratamento, eliminação e coleta de resíduos sólidos, saneamento, remediação e serviços ambientais
124010000;Serviços de tratamento de água
12402;Serviços de esgoto, tratamento de esgotos e limpeza de fossas sépticas 
124021000;Serviços de esgoto e tratamento de esgotos 
124022000;Serviços de esvaziamento e limpeza de fossas sépticas 
12403;Serviços de coleta de resíduos 
124031000;Serviços de coleta de resíduos sólidos perigosos, exceto de serviços de saúde 
124032000;Serviços de coleta de resíduos de serviços de saúde
124033;Serviços de coleta de resíduos sólidos não perigosos, inertes ou não inertes
124033100;Serviços de coleta de resíduos sólidos de origem doméstica, comercial e de varrição
124033200;Serviços de coleta de resíduos sólidos de origem industrial
124033300;Serviços de coleta de resíduos sólidos recicláveis
124033900;Serviços de coleta de outros resíduos sólidos não perigosos, inertes ou não inertes 
124034000;Serviços de coleta de resíduos líquidos
124039000;Outros serviços de coleta de resíduos
12404;Serviços de disposição e tratamento de resíduos 
124041000;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos perigosos, exceto os resíduos de serviços de saúde 
124042000;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos de serviços de saúde
124043;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos não perigosos, inertes ou não inertes
124043100;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos de origem doméstica, comercial e de varrição
124043200;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos de origem industrial
124043300;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos recicláveis
124043900;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de outros resíduos sólidos não perigosos, inertes ou não inertes
124044000;Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos líquidos
124049000;Outros serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos
12405;Serviços de saneamento e similares 
124051000;Serviços de varrição e limpeza de ruas e outros locais públicos
124059000;Outros serviços de saneamento 
12406;Serviços ambientais
124061000;Serviços ambientais relacionados à água
124062000;Serviços ambientais relacionados ao solo
124063000;Serviços ambientais relacionados ao ar
124069000;Outros serviços ambientais
12407;Serviços de remediação e contenção de contaminantes
124071;Serviços de remediação de áreas contaminadas 
124071100;Serviços de remediação do ar 
124071200;Serviços de remediação de águas de superfície 
124071300;Serviços de remediação do solo e águas subterrâneas
124071400;Serviços de remediação em edificações
124072000;Serviços de contenção de contaminantes 
124079000;Outros serviços de remediação
125;Serviços recreativos, culturais e desportivos
12501;Serviços de produção audiovisual, de apoio e relacionados
125011;Serviços de gravação de som 
125011100;Serviços de gravação de som em estúdio
125011200;Serviços de gravação de som ao vivo 
125012;Serviços de produção de programas de rádio e televisão, videoteipes e filmes 
125012100;Serviços de produção de programas de televisão, videoteipes e filmes 
125012200;Serviços de produção de programas de rádio 
125013;Serviços de pós-produção de obras audiovisuais 
125013100;Serviços de edição de obras audiovisuais 
125013200;Serviços de duplicação e transferência de obras audiovisuais 
125013300;Serviços de correção de cor e restauração digital de obras audiovisuais
125013400;Serviços de efeitos visuais em obras audiovisuais
125013500;Serviços de animação
125013600;Serviços de legendas, títulos e dublagem em obras audiovisuais
125013700;Serviços de projeto e edição de som em obras audiovisuais
125013900;Outros serviços de pós-produção em obras audiovisuais
125014000;Serviços de agenciamento pela comercialização de obras audiovisuais 
125015000;Serviços de projeção de filmes
125019000;Outros serviços de produção audiovisual, de apoio e relacionados
12502;Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo
125021000;Serviços de organização e promoção de atuações artísticas ao vivo
125022000;Serviços de produção e apresentação de atuações artísticas ao vivo
125023000;Serviços de apoio para atuações artísticas ao vivo
125029000;Outros serviços de entretenimento artístico ao vivo 
12503;Serviços de atuação artística e outros serviços artísticos 
125031000;Serviços de atuação artística
125032000;Serviços de autores, compositores, escultores, pintores e outros artistas, exceto os de atuação artística 
12504;Serviços de museus e de preservação e serviços de reservas botânica, zoológica e natural 
125041;Serviços de museus e de preservação de locais e construções históricas
125041100;Serviços de museus
125041200;Serviços de preservação e operação de locais e construções históricas 
125042;Serviços de reservas botânica, zoológica e natural 
125042100;Serviços de jardins botânico e zoológico 
125042200;Serviços de reserva natural, incluindo preservação de vida selvagem 
12505;Serviços desportivos e recreacionais desportivos 
125051;Serviços de organização e promoção de eventos desportivos e recreacionais desportivos
125051100;Serviços de organização e promoção de eventos desportivos e recreacionais desportivos 
125051200;Serviços de clubes desportivos 
125059000;Outros serviços de desportes e de recreação desportiva
125060000;Serviços fornecidos por atletas e desportistas, por conta própria, e serviços de apoio relacionados com desportes e recreação desportiva 
12507;Serviços de parques de diversão 
125071000;Serviços de parques temáticos de diversão 
125079000;Outros serviços de parques de diversão e atrações similares
125900000;Outros serviços recreativos, culturais e desportivos  
126;Serviços pessoais 
12601;Serviços de lavanderia e tinturaria
126011000;Serviços de limpeza de têxteis, exceto quando realizados a seco
126012000;Serviços de limpeza a seco
126013000;Serviços de tinturaria
126019000;Outros serviços de lavanderia 
12602;Serviços de tratamento de beleza e bem-estar físico 
126021000;Serviços de cabeleireiros e barbeiros 
126022000;Serviços de manicure, pedicure e tratamento cosmético 
126023000;Serviços de bem-estar físico 
126029000;Outros tratamentos de beleza e bem-estar físico
126030000;Serviços funerários, de cremação e de embalsamamento
126900000;Outros serviços pessoais 
127;Cessão de direitos de propriedade intelectual 
12701;Cessão de direitos de autor e direitos conexos
127011000;Cessão de direitos de obras literárias
127012000;Cessão de direitos sobre programas de computador
127013;Cessão de direitos de obras audiovisuais
127013100;Cessão de direitos de obras cinematográficas
127013200;Cessão de direitos de obras jornalísticas
127013300;Cessão de direitos de obras publicitárias 
127013900;Cessão de direitos de outras obras audiovisuais
127014000;Cessão de direitos de obras musicais e outros fonogramas
127015000;Cessão de direitos relacionados à radiodifusão
127019000;Cessão de outros direitos de autor e outros direitos conexos
12702;Cessão de direitos sobre a propriedade industrial
127021000;Cessão de direitos sobre patentes
127022000;Cessão de direitos sobre marcas
127023000;Cessão de direitos sobre desenho industrial
127029000;Cessão de outros direitos sobre a propriedade industrial
127030000;Cessão de direitos sobre cultivares
127040000;Cessão de direitos sobre topografias de circuitos integrados
127050000;Cessão de direitos relativos à informação não divulgada
127900000;Cessão de outros direitos de propriedade intelectual não classificados nas posições anteriores
